City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Amahai,ID,-3.3333,128.9167,79.14,84,96,2.64,overcast clouds
222,Corbelia,BR,-24.7989,-53.3067,65.55,95,96,3.22,moderate rain
223,Bull Savanna,JM,17.8868,-77.5902,81.9,68,8,13.24,clear sky
224,Thompson,CA,55.7435,-97.8558,62.76,42,100,8.05,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,68.14,54,0,21.39,clear sky
226,Ahipara,NZ,-35.1667,173.1667,59.43,64,0,9.95,clear sky
227,Sangar,RU,63.9242,127.4739,17.94,77,11,4.92,few clouds
228,Manjacaze,MZ,-24.7117,33.8828,62.91,92,0,1.48,clear sky
229,Castro,BR,-24.7911,-50.0119,62.85,81,68,3.71,moderate rain
230,Bosaso,SO,11.2842,49.1816,82.2,58,17,4.47,few clouds
231,Kjollefjord,NO,70.9457,27.3465,35.65,93,75,9.22,light intensity shower rain
232,Kahului,US,20.8947,-156.47,82.42,64,40,19.57,scattered clouds
